CODIGO_COMUNA,NOMBRE_COMUNA,Cantidad,Porcentaje,Año
13101.0,SANTIAGO,5509,5.441,2018
13119.0,MAIPU,3178,3.139,2018
9101.0,TEMUCO,3163,3.124,2018
13114.0,LAS CONDES,2862,2.827,2018
8101.0,CONCEPCION,2861,2.826,2018
13201.0,PUENTE ALTO,2774,2.74,2018
13123.0,PROVIDENCIA,2771,2.737,2018
13110.0,LA FLORIDA,2480,2.45,2018
2101.0,ANTOFAGASTA,2270,2.242,2018
5109.0,VIÑA DEL MAR,2257,2.229,2018
13101.0,SANTIAGO,5282,5.09,2019
13119.0,MAIPU,3364,3.242,2019
9101.0,TEMUCO,3218,3.101,2019
13114.0,LAS CONDES,2835,2.732,2019
13201.0,PUENTE ALTO,2783,2.682,2019
8101.0,CONCEPCION,2752,2.652,2019
13123.0,PROVIDENCIA,2695,2.597,2019
13110.0,LA FLORIDA,2572,2.478,2019
2101.0,ANTOFAGASTA,2371,2.285,2019
5109.0,VIÑA DEL MAR,2267,2.185,2019
13101.0,SANTIAGO,4926,5.027,2020
13119.0,MAIPU,3252,3.319,2020
9101.0,TEMUCO,3165,3.23,2020
8101.0,CONCEPCION,2776,2.833,2020
13114.0,LAS CONDES,2664,2.719,2020
13201.0,PUENTE ALTO,2607,2.66,2020
13123.0,PROVIDENCIA,2473,2.524,2020
13110.0,LA FLORIDA,2285,2.332,2020
7101.0,TALCA,2180,2.225,2020
2101.0,ANTOFAGASTA,2111,2.154,2020
13101.0,SANTIAGO,4452,4.824,2021
9101.0,TEMUCO,2747,2.977,2021
13119.0,MAIPU,2719,2.946,2021
13201.0,PUENTE ALTO,2598,2.815,2021
13114.0,LAS CONDES,2431,2.634,2021
8101.0,CONCEPCION,2416,2.618,2021
13123.0,PROVIDENCIA,2318,2.512,2021
13110.0,LA FLORIDA,2219,2.404,2021
2101.0,ANTOFAGASTA,2199,2.383,2021
7101.0,TALCA,2109,2.285,2021
13101.0,SANTIAGO,4452,4.64,2022
13119.0,MAIPU,3015,3.143,2022
9101.0,TEMUCO,2777,2.895,2022
13201.0,PUENTE ALTO,2742,2.858,2022
13114.0,LAS CONDES,2423,2.526,2022
13110.0,LA FLORIDA,2329,2.428,2022
8101.0,CONCEPCION,2301,2.398,2022
13123.0,PROVIDENCIA,2288,2.385,2022
7101.0,TALCA,2245,2.34,2022
2101.0,ANTOFAGASTA,2098,2.187,2022
13101.0,SANTIAGO,4799,4.312,2023
13119.0,MAIPU,3426,3.078,2023
13201.0,PUENTE ALTO,3392,3.048,2023
9101.0,TEMUCO,3020,2.713,2023
8101.0,CONCEPCION,2615,2.35,2023
13123.0,PROVIDENCIA,2540,2.282,2023
13114.0,LAS CONDES,2505,2.251,2023
13110.0,LA FLORIDA,2488,2.235,2023
2101.0,ANTOFAGASTA,2363,2.123,2023
7101.0,TALCA,2230,2.004,2023
13101.0,SANTIAGO,4814,4.067,2024
13119.0,MAIPU,3646,3.08,2024
13201.0,PUENTE ALTO,3479,2.939,2024
9101.0,TEMUCO,3208,2.71,2024
8101.0,CONCEPCION,2675,2.26,2024
13114.0,LAS CONDES,2568,2.17,2024
2101.0,ANTOFAGASTA,2538,2.144,2024
7101.0,TALCA,2537,2.143,2024
13123.0,PROVIDENCIA,2476,2.092,2024
13110.0,LA FLORIDA,2430,2.053,2024
